B72220S0381K101,10.0,2.8,21.5,6.3,26.0,25.0,1.0,S20K385,385,505,8000,150.0,1.00
B72205S0421K101,5.0,2.8,7.0,5.4,9.0,25.0,0.6,S05K420,420,560,400,14.0,0.10
B72207S0421K101,5.0,2.8,9.0,5.4,11.5,25.0,0.6,S07K420,420,560,1200,32.0,0.25
B72210S0421K101,7.5,2.9,12.0,6.1,15.0,25.0,0.8,S10K420,420,560,2500,45.0,0.40
B72214S0421K101,7.5,2.9,15.5,6.1,19.0,25.0,0.8,S14K420,420,560,4500,90.0,0.60
B72220S0421K101,10.0,3.1,21.5,6.5,26.0,25.0,1.0,S20K420,420,560,8000,175.0,1.00
B72205S0441K101,5.0,2.8,7.0,5.5,9.0,25.0,0.6,S05K440,440,585,400,16.0,0.10
B72207S0441K101,5.0,2.8,9.0,5.5,11.5,25.0,0.6,S07K440,440,585,1200,34.0,0.25
B72210S0441K101,7.5,3.0,12.0,6.2,15.0,25.0,0.8,S10K440,440,585,2500,47.0,0.40
B72214S0441K101,7.5,3.0,15.5,6.3,19.0,25.0,0.8,S14K440,440,585,4500,95.0,0.60
B72220S0441K101,10.0,3.1,21.5,6.7,26.0,25.0,1.0,S20K440,440,585,8000,185.0,1.00
B72205S0461K101,5.0,3.0,7.0,5.7,9.0,25.0,0.6,S05K460,460,615,400,18.0,0.10
B72207S0461K101,5.0,3.0,9.0,5.7,11.5,25.0,0.6,S07K460,460,615,1200,36.0,0.25
B72210S0461K101,7.5,3.1,12.0,6.3,15.0,25.0,0.8,S10K460,460,615,2500,50.0,0.40
B72214S0461K101,7.5,3.1,15.5,6.4,19.0,25.0,0.8,S14K460,460,615,4500,100.0,0.60
B72220S0461K101,10.0,3.3,21.5,6.8,26.0,25.0,1.0,S20K460,460,615,8000,195.0,1.00
B72210S0511K101,7.5,3.4,12.0,6.7,15.0,25.0,0.8,S10K510,510,670,2500,55.0,0.40
B72214S0511K101,7.5,3.4,15.5,6.8,19.0,25.0,0.8,S14K510,510,670,4500,110.0,0.60
B72220S0511K101,10.0,3.5,21.5,7.1,26.0,25.0,1.0,S20K510,510,670,6500,190.0,1.00
B72210S0551K101,7.5,3.7,12.0,7.1,15.0,25.0,0.8,S10K550,550,745,2500,60.0,0.40
B72214S0551K101,7.5,3.7,15.5,7.2,19.0,25.0,0.8,S14K550,550,745,4500,120.0,0.60
B72220S0551K101,10.0,3.9,21.5,7.5,26.0,25.0,1.0,S20K550,550,745,6500,210.0,1.00
B72210S0621K101,7.5,4.0,12.0,7.5,15.0,25.0,0.8,S10K625,625,825,2500,68.0,0.40
B72214S0621K101,7.5,4.0,15.5,7.5,19.0,25.0,0.8,S14K625,625,825,4500,130.0,0.60
B72220S0621K101,10.0,4.2,21.5,7.9,26.0,25.0,1.0,S20K625,625,825,6500,230.0,1.00
B72210S0681K101,7.5,4.4,12.0,7.9,15.0,25.0,0.8,S10K680,680,895,2500,72.0,0.40
B72214S0681K101,7.5,4.4,15.5,8.0,19.0,25.0,0.8,S14K680,680,895,4500,140.0,0.60
B72220S0681K101,10.0,4.5,21.5,8.4,26.0,25.0,1.0,S20K680,680,895,6500,250.0,1.00
B72214S0102K101,7.5,6.7,15.5,11.0,20.5,25.0,0.8,S14K10001),1100,1465,4500,230.0,0.60
B72220S0102K101,10.0,6.9,21.5,11.4,28.5,25.0,1.0,S20K10001),1100,1465,6500,410.0,1.00
